id,nome,peso,altura,tipo1,tipo2,url,abilities,evolutions
25,Pikachu,6.0 kg (13.2 lbs),0.4 m (1′04″),Electric,,https://pokemondb.net/pokedex/pikachu,"[{'nome': 'Static', 'text': 'If a Pokémon with   is hit by a move making contact, there is a 30% chance the foe will become paralyzed. If a Pokémon with   is the leading party Pokémon, it is 50% more likely that a wild Pokémon encountered will be   type.', 'url': 'https://pokemondb.net/ability/static'}]","[{'IdEvolucao': '#0172', 'NomeEvolucao': 'Pichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pichu'}, {'IdEvolucao': '#0025', 'NomeEvolucao': 'Pikachu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pikachu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}]"
30,Nidorina,20.0 kg (44.1 lbs),0.8 m (2′07″),Poison,,https://pokemondb.net/pokedex/nidorina,"[{'nome': 'Rivalry', 'text': 'Deals more damage to a Pokémon of same gender.', 'url': 'https://pokemondb.net/ability/rivalry'}]","[{'IdEvolucao': '#0029', 'NomeEvolucao': 'Nidoran♀', 'UrlEvolucao': 'https://pokemondb.net/pokedex/nidoran-f'}, {'IdEvolucao': '#0030', 'NomeEvolucao': 'Nidorina', 'UrlEvolucao': 'https://pokemondb.net/pokedex/nidorina'}, {'IdEvolucao': '#0031', 'NomeEvolucao': 'Nidoqueen', 'UrlEvolucao': 'https://pokemondb.net/pokedex/nidoqueen'}]"
1,Bulbasaur,6.9 kg (15.2 lbs),0.7 m (2′04″),Grass,Poison,https://pokemondb.net/pokedex/bulbasaur,"[{'nome': 'Overgrow', 'text': ""increases the power of  -type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as  )."", 'url': 'https://pokemondb.net/ability/overgrow'}]","[{'IdEvolucao': '#0001', 'NomeEvolucao': 'Bulbasaur', 'UrlEvolucao': 'https://pokemondb.net/pokedex/bulbasaur'}, {'IdEvolucao': '#0002', 'NomeEvolucao': 'Ivysaur', 'UrlEvolucao': 'https://pokemondb.net/pokedex/ivysaur'}, {'IdEvolucao': '#0003', 'NomeEvolucao': 'Venusaur', 'UrlEvolucao': 'https://pokemondb.net/pokedex/venusaur'}]"
27,Sandshrew,12.0 kg (26.5 lbs),0.6 m (2′00″),Ground,Steel,https://pokemondb.net/pokedex/sandshrew,"[{'nome': 'Snow Cloak', 'text': ""raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being   type). If a Pokémon with   is the leading party Pokémon while travelling in a hail storm/blizzard, wild Pokémon are only half as likely to appear."", 'url': 'https://pokemondb.net/ability/snow-cloak'}]","[{'IdEvolucao': '#0027', 'NomeEvolucao': 'Sandshrew', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandshrew'}, {'IdEvolucao': '#0028', 'NomeEvolucao': 'Sandslash', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandslash'}, {'IdEvolucao': '#0027', 'NomeEvolucao': 'Sandshrew', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandshrew'}, {'IdEvolucao': '#0028', 'NomeEvolucao': 'Sandslash', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandslash'}]"
26,Raichu,30.0 kg (66.1 lbs),0.8 m (2′07″),Electric,Psychic,https://pokemondb.net/pokedex/raichu,"[{'nome': 'Surge Surfer', 'text': ""doubles the bearer's Speed when   is active. No Pokémon have   as a hidden ability."", 'url': 'https://pokemondb.net/ability/surge-surfer'}]","[{'IdEvolucao': '#0172', 'NomeEvolucao': 'Pichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pichu'}, {'IdEvolucao': '#0025', 'NomeEvolucao': 'Pikachu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pikachu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}, {'IdEvolucao': '#0026', 'NomeEvolucao': 'Raichu', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raichu'}]"
24,Arbok,65.0 kg (143.3 lbs),3.5 m (11′06″),Poison,,https://pokemondb.net/pokedex/arbok,"[{'nome': 'Shed Skin', 'text': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}]","[{'IdEvolucao': '#0023', 'NomeEvolucao': 'Ekans', 'UrlEvolucao': 'https://pokemondb.net/pokedex/ekans'}, {'IdEvolucao': '#0024', 'NomeEvolucao': 'Arbok', 'UrlEvolucao': 'https://pokemondb.net/pokedex/arbok'}]"
20,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,https://pokemondb.net/pokedex/raticate,"[{'nome': 'Hustle', 'text': ""increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level."", 'url': 'https://pokemondb.net/ability/hustle'}]","[{'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}, {'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}]"
18,Pidgeot,39.5 kg (87.1 lbs),1.5 m (4′11″),Normal,Flying,https://pokemondb.net/pokedex/pidgeot,"[{'nome': 'No Guard', 'text': 'ensures that all attacks used by, and targeted at, the ability-bearer hit without fail. This includes moves used on a Pokémon in the   stages of the moves  ,  ,   and  . If a Pokémon with   is the leading party Pokémon, wild Pokémon are twice as likely to appear.', 'url': 'https://pokemondb.net/ability/no-guard'}]","[{'IdEvolucao': '#0016', 'NomeEvolucao': 'Pidgey', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgey'}, {'IdEvolucao': '#0017', 'NomeEvolucao': 'Pidgeotto', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeotto'}, {'IdEvolucao': '#0018', 'NomeEvolucao': 'Pidgeot', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeot'}]"
18,Pidgeot,39.5 kg (87.1 lbs),1.5 m (4′11″),Normal,Flying,https://pokemondb.net/pokedex/pidgeot,"[{'nome': 'No Guard', 'text': 'ensures that all attacks used by, and targeted at, the ability-bearer hit without fail. This includes moves used on a Pokémon in the   stages of the moves  ,  ,   and  . If a Pokémon with   is the leading party Pokémon, wild Pokémon are twice as likely to appear.', 'url': 'https://pokemondb.net/ability/no-guard'}, {'nome': 'Tangled Feet', 'text': 'Raises evasion if the Pokémon is confused.', 'url': 'https://pokemondb.net/ability/tangled-feet'}]","[{'IdEvolucao': '#0016', 'NomeEvolucao': 'Pidgey', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgey'}, {'IdEvolucao': '#0017', 'NomeEvolucao': 'Pidgeotto', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeotto'}, {'IdEvolucao': '#0018', 'NomeEvolucao': 'Pidgeot', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeot'}]"
24,Arbok,65.0 kg (143.3 lbs),3.5 m (11′06″),Poison,,https://pokemondb.net/pokedex/arbok,"[{'nome': 'Shed Skin', 'text': 'The Pokémon may heal its own status problems.', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'nome': 'Intimidate', 'text': ""lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle). Stats can be lowered to a minimum of -6 stages each. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% less likely to be lower level."", 'url': 'https://pokemondb.net/ability/intimidate'}]","[{'IdEvolucao': '#0023', 'NomeEvolucao': 'Ekans', 'UrlEvolucao': 'https://pokemondb.net/pokedex/ekans'}, {'IdEvolucao': '#0024', 'NomeEvolucao': 'Arbok', 'UrlEvolucao': 'https://pokemondb.net/pokedex/arbok'}]"
